branch	tip	committerdate_iso	author	merged	ahead	patch_unique	files_changed	insertions	deletions	class	subject
agent/ci-navigation-hardening-20260722	3f86a520	2026-07-22T16:04:32+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	ci: deduplicate verification and bound navigation
agent/main-ci-hotfix-20260722	fadf0e8b	2026-07-22T14:44:40+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	test: allow full-hd software render evidence
agent/pass57-release-metadata-20260722	76dde017	2026-07-22T15:44:50+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	docs: record Pass 57 production release
agent/pass60-acres-ui-uav-20260723	0fb1aafd	2026-07-23T21:21:00+01:00	Dave Hatton	no	1	0	13	95	23	SUPERSEDED	fix(pass60): scale HUD and clear Acres routes
agent/pass60-rustworks-20260723	ca205f8f	2026-07-23T21:29:58+01:00	Dave Hatton	no	1	0	12	491	157	SUPERSEDED	fix(rustworks): rebuild container yard and add Welsh flag
agent/rig-weapon-hud-live-20260722	ff8efd50	2026-07-22T14:43:58+01:00	Dave Hatton	no	1	0	1	1	1	SUPERSEDED	test: allow full-hd software render evidence
agent/rig-weapon-hud-source-20260722	1fe03af1	2026-07-27T15:40:06+01:00	Dave Hatton	no	4	4	52	2117	245	OLDER_UNMERGED	docs: add PASS 65 entry to in-game changelog
agent/rustworks-ocean-layout-20260722	655a35a1	2026-07-22T15:16:39+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	docs: reconcile live player release history
agent/skyline-terminal-overhaul-20260722	f079b0cd	2026-07-22T17:18:49+01:00	Dave Hatton	no	1	0	8	646	32	SUPERSEDED	feat: overhaul Skyline Terminal
backup/claude-pass74-pre-highseas-20260822	c7944d82	2026-08-22T13:49:53+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	fix(pass74): HF-347 dummy clock, HF-363 grain rewiring, water subtree dispose, CRLF repair
backup/pass65-20260727	0050b15f	2026-07-27T15:31:35+01:00	Dave Hatton	no	2	2	44	1896	174	OLDER_UNMERGED	backup: pre-refinement Pass 65 baseline state
backup/pass65-qoder-dirty-20260728	c827d76c	2026-07-28T05:17:14+01:00	Dave Hatton	no	2	1	35	827	161	OLDER_UNMERGED	On contrib/dave-gaming-pc/codex/pass65-integration: Qoder Pass 65 dirty checkpoint before Codex audit 2026-07-28
backup/pass75-pre-claude-071-rebase-20260822	44ef42e4	2026-08-22T09:51:38+01:00	Dave Hatton	no	7	1	58	2931	180	OLDER_UNMERGED	fix(pass75): contain yacht perimeter without client deaths
backup/pass78-fallback-20260823	fe68d1dc	2026-08-23T21:27:00+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	checkpoint(pass78): full swarm state - waves 1+2 landed, wave 3 in flight
codex/atomic-acres-aesthetic-overhaul-20260722	018ca5b2	2026-07-22T17:35:22+01:00	Dave Hatton	no	1	0	17	364	96	SUPERSEDED	Refine Atomic Acres retro-future aesthetic
codex/multiplayer-refinement-20260722	b09ad068	2026-07-22T13:30:17+01:00	Dave Hatton	no	1	0	1	3	3	SUPERSEDED	test: tolerate software-rendered evidence capture
codex/pass54-wall-penetration-20260722	f4fdd8a2	2026-07-22T11:41:02+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	feat: add shared wall penetration
codex/pass71-candidate-a-run-conclusions	2d3c37ee	2026-08-13T19:25:56+01:00	Dave Hatton	no	62	62	197	18541	2243	PASS71_FAMILY	release: bind Pass 71 preview to candidate A checks
codex/rustworks-operator-refinement-20260722	88e127a2	2026-07-22T14:26:11+01:00	Dave Hatton	no	5	0	44	1170	285	SUPERSEDED	test: lock Rustworks visual refinement contract
codex/shooting-range-20260722	f427c571	2026-07-22T12:00:43+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	feat: build indoor range armory
contrib/dave-gaming-pc/claude/bus-doors-interior	75a4e508	2026-09-02T15:06:58+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	test(pass84): re-pin the EBR balance tests to HF-398 (52.1 / 33.6 / 46 rpm), the two source-shape pins the gamepad lane shifted, and give Map 3 a grade that clears the distinctiveness floor
contrib/dave-gaming-pc/claude/eye-clearance-triage	7b05a660	2026-09-02T20:01:14+01:00	Dave Hatton	no	6	6	32	3540	49	ACTIVE_LANE	test(qa/eye-clearance): pin the authority seam, the annotations and the three-stage gate
contrib/dave-gaming-pc/claude/farcrysis-load-fix	6b94915c	2026-09-02T14:18:20+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	evidence(farcrysis-load): keep the 23 probe/tsc/boot-smoke logs as .log.txt (the repo ignores *.log)
contrib/dave-gaming-pc/claude/farcrysis-playable-preview	4331ae0f	2026-09-02T16:33:26+01:00	Dave Hatton	no	3	3	14	2565	44	ACTIVE_LANE	perf(farcrysis): measure in-combat frame time against atomic-acres and attribute the gap (PASS 85 Lane R, item 1)
contrib/dave-gaming-pc/claude/gamepad-aim-assist	a49d92d4	2026-09-02T13:36:38+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	test(e2e): mixed-input regression gate, exact assist staging, real snap-cone headroom (PASS 84 Lane E) [REPAIR 2]
contrib/dave-gaming-pc/claude/hf395-396-viewmodel	f9c6379b	2026-09-02T19:44:34+01:00	Dave Hatton	no	7	7	43	32300	142	ACTIVE_LANE	qa(HF-410 repair): commit the 0.08 m evidence the first pass asserted, re-measure penetration on the repaired tree, and ratchet the floor down to it
contrib/dave-gaming-pc/claude/hf399-fps-regression	b0deba94	2026-09-02T14:31:07+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	docs(HF-399): tripwire + visual-parity evidence for the repaired HEAD
contrib/dave-gaming-pc/claude/hf401-chopper-pilot	6e00ce7e	2026-09-02T15:29:52+01:00	Dave Hatton	no	6	6	5	1257	136	ACTIVE_LANE	docs(hf401): withdraw three refuted conclusions, escalate the one real blocker
contrib/dave-gaming-pc/claude/hf402-spawn-layouts	a3f55846	2026-09-02T12:31:17+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	qa(hf402): bots are asserted, from the runtime's own spawn audit
contrib/dave-gaming-pc/claude/hf403-mp-lab	05d15810	2026-09-02T13:44:13+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	fix(mp-lab): a guest resuming against a perimeter wall is no longer NACKed as blocked (HF-403)
contrib/dave-gaming-pc/claude/hf404-cross-browser-smooth	860019c8	2026-09-02T19:23:04+01:00	Dave Hatton	no	18	18	30	49307	177	ACTIVE_LANE	docs(HF-404): correct the Lane T evidence - matched thresholds, the cadence change, and a baseline not called clean
contrib/dave-gaming-pc/claude/hf410-integration-prep	21730228	2026-09-02T20:22:18+01:00	Dave Hatton	no	59	59	199	74078	275	ACTIVE_LANE	Merge branch 'contrib/dave-gaming-pc/claude/hf395-396-viewmodel' into contrib/dave-gaming-pc/claude/hf410-integration-prep
contrib/dave-gaming-pc/claude/hf411-walkable-parity	a105c944	2026-09-02T18:33:06+01:00	Dave Hatton	no	7	7	13	19160	10	ACTIVE_LANE	docs(pass85): track the Lane X report and correct the stale atomic-acres row (HF-411)
contrib/dave-gaming-pc/claude/hf412-drop-shot	bd68c82b	2026-09-02T18:47:34+01:00	Dave Hatton	no	5	5	20	6964	13	ACTIVE_LANE	test(hf412): the guest-side two-client recording the ledger asks for, re-taken quiet receipts, and the HUD row inspected instead of assumed
contrib/dave-gaming-pc/claude/hf413-arms-animations	fce720d8	2026-09-02T18:52:08+01:00	Dave Hatton	no	13	13	90	11559	42	ACTIVE_LANE	docs(hf413): after-repair evidence - 47 rows, the six-frame strips, and the first rendered minigun reload
contrib/dave-gaming-pc/claude/ibl-first-arena	683f28aa	2026-09-02T18:35:24+01:00	Dave Hatton	no	8	8	24	4850	0	ACTIVE_LANE	docs(pass85): retract the overstated parity headline - 7 of 9, not 8, not 0.1%
contrib/dave-gaming-pc/claude/load-time-deep-cut	b082bc83	2026-09-02T19:27:31+01:00	Dave Hatton	no	19	19	26	3887	0	ACTIVE_LANE	qa(pass85): arena switch matrix gate - the instrument HF-417 slipped past
contrib/dave-gaming-pc/claude/map3-demo-showcase	cfce66a5	2026-09-02T19:23:19+01:00	Dave Hatton	no	10	10	62	3685	521	ACTIVE_LANE	evidence(map3): a spawn receipt that actually reproduces on the shipped tree (HF-409 repair)
contrib/dave-gaming-pc/claude/nuketown-rejig	8d74618e	2026-09-02T19:00:27+01:00	Dave Hatton	no	14	14	71	4178	26	ACTIVE_LANE	docs(nuketown2): reword the last five near-verbatim source phrases into the lane's own words (HF-407)
contrib/dave-gaming-pc/claude/pass74-20260821	97654025	2026-08-22T16:26:49+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	docs(pass74): HF-335 ledger - trajectory restored
contrib/dave-gaming-pc/claude/pass74-skins-lane	b1f0bac5	2026-08-22T12:28:26+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	fix(pass74-skins): HF-360 the authoring pipeline runs - three archetypes, nine GLBs
contrib/dave-gaming-pc/claude/pass84-release-prep	9da6a1bf	2026-09-02T13:22:24+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	qa(release): enforce the built-identity check on the publish path (HF-406)
contrib/dave-gaming-pc/claude/qa-corpus-streamline	462b5687	2026-09-02T20:15:08+01:00	Dave Hatton	no	4	4	22	1300	78	ACTIVE_LANE	docs(pass85): QA corpus audit - reachability of all 76 specs and 330 scripts/qa files, measured
contrib/dave-gaming-pc/claude/raid-art-pass	75a4e508	2026-09-02T15:06:58+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	test(pass84): re-pin the EBR balance tests to HF-398 (52.1 / 33.6 / 46 rpm), the two source-shape pins the gamepad lane shifted, and give Map 3 a grade that clears the distinctiveness floor
contrib/dave-gaming-pc/codex/atomic-acres-aesthetic-overhaul	edb15dd1	2026-07-22T19:44:48+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	Harden software-rendered browser timing gates
contrib/dave-gaming-pc/codex/ci-release-pipeline	044d61d1	2026-07-22T16:44:42+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	ci: centralize contribution and production releases
contrib/dave-gaming-pc/codex/pass58-release-metadata-20260722	65a92b95	2026-07-22T21:34:54+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	Record Pass 58 and harden Pages receipt wait
contrib/dave-gaming-pc/codex/pass60-feedback	dbe8ed56	2026-07-23T22:57:21+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	test: pin Pass 59 stable chooser contract
contrib/dave-gaming-pc/codex/pass60-release-metadata	fd8cef33	2026-07-24T00:04:06+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	fix: resolve Pass 60 production timestamp
contrib/dave-gaming-pc/codex/pass60-terminal-overhaul	721afd43	2026-07-23T21:13:47+01:00	Dave Hatton	no	1	0	2	167	37	SUPERSEDED	feat: overhaul Skyline Terminal presentation
contrib/dave-gaming-pc/codex/pass61-experimental-netcode	4fdc92b6	2026-07-24T02:54:18+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	feat: add Pass 61 experimental netcode channel
contrib/dave-gaming-pc/codex/pass61-release-browser-prereq	e0e977d5	2026-07-24T03:49:49+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	ci: install browser before topology verification
contrib/dave-gaming-pc/codex/pass62-gameplay-reconciliation	3aad07cf	2026-07-24T10:46:08+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	test: accept refined performance texture sampling
contrib/dave-gaming-pc/codex/pass62-graphics-refinement	f2a675c3	2026-07-24T11:00:24+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	fix: restore authored lighting pools
contrib/dave-gaming-pc/codex/pass62-netcode-correctness	40cbff44	2026-07-24T11:22:34+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	fix(netcode): resolve immutable authored bullet timelines
contrib/dave-gaming-pc/codex/pass62-offline-integration	005e44f6	2026-07-24T16:11:33+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	release: defer remaining visual defects to Pass 63
contrib/dave-gaming-pc/codex/pass63-atomic-visuals	2e9e413e	2026-07-24T18:55:34+01:00	Dave Hatton	no	1	0	10	258	19	SUPERSEDED	fix: occlude Atomic lights and clear house apertures
contrib/dave-gaming-pc/codex/pass63-cleanup	9ab0f302	2026-07-24T19:33:31+01:00	Dave Hatton	no	11	0	42	2793	145	SUPERSEDED	test: isolate authoritative netcode preview
contrib/dave-gaming-pc/codex/pass63-live-stable62	2f6adedd	2026-07-25T02:56:12+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	accept exact Pass 63 preview
contrib/dave-gaming-pc/codex/pass63-terminal-visuals	8bf104d3	2026-07-24T18:54:28+01:00	Dave Hatton	no	1	0	4	361	21	SUPERSEDED	fix: align Skyline Terminal openings with collision
contrib/dave-gaming-pc/codex/pass63-text-chat	a42dd99a	2026-07-24T19:04:58+01:00	Dave Hatton	no	1	1	11	778	9	OLDER_UNMERGED	feat: add host-authoritative room text chat
contrib/dave-gaming-pc/codex/pass64-diagnostics	5a7958cb	2026-07-25T11:01:07+01:00	Dave Hatton	no	4	2	11	1059	56	OLDER_UNMERGED	feat(pass64): add match diagnostics analyzer
contrib/dave-gaming-pc/codex/pass64-gameplay	8a7dbd0f	2026-07-25T03:58:14+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	Correct Pass 64 player-facing arena names
contrib/dave-gaming-pc/codex/pass64-gameplay-audit-fixes	66fc584c	2026-07-25T14:11:36+01:00	Dave Hatton	no	1	0	8	78	7	SUPERSEDED	Fix Pass 64 diagnostic identity and result replay
contrib/dave-gaming-pc/codex/pass64-hud	af4adaad	2026-07-25T02:33:03+01:00	Dave Hatton	no	2	0	23	923	136	SUPERSEDED	feat: add tactical HUD and accessible menu shell
contrib/dave-gaming-pc/codex/pass64-hud-release-fixes	eadfa07a	2026-07-25T14:11:34+01:00	Dave Hatton	no	1	0	7	109	10	SUPERSEDED	Harden Pass 64 HUD release evidence
contrib/dave-gaming-pc/codex/pass64-hud-v2	e1fdeec0	2026-07-25T10:24:30+01:00	Dave Hatton	no	1	0	8	2339	557	SUPERSEDED	feat(pass64): overhaul command menu and combat HUD
contrib/dave-gaming-pc/codex/pass64-integration	7bbd89d5	2026-07-25T21:19:47+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	test(pass64): compare transient draw-call delta
contrib/dave-gaming-pc/codex/pass64-playable-webgpu	75d6ef71	2026-07-25T11:09:39+01:00	Dave Hatton	no	1	1	16	1613	813	OLDER_UNMERGED	feat: complete playable WebGPU renderer migration
contrib/dave-gaming-pc/codex/pass64-renderer	b597e651	2026-07-25T05:27:39+01:00	Dave Hatton	no	1	0	6	119	18	SUPERSEDED	fix(ci): scope presentation prewarm compilation
contrib/dave-gaming-pc/codex/pass64-renderer-fixes	82f30e49	2026-07-25T14:15:12+01:00	Dave Hatton	no	1	1	11	491	191	OLDER_UNMERGED	fix(pass64): harden WebGPU renderer ownership
contrib/dave-gaming-pc/codex/pass64-topology-smoke	a7ab56be	2026-07-25T22:07:53+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	fix(release): smoke topology via rollback renderer
contrib/dave-gaming-pc/codex/pass65-advanced-graphics	0cab17b4	2026-07-26T19:00:00+01:00	Dave Hatton	no	1	0	26	1657	229	SUPERSEDED	feat(pass65): make advanced graphics executable
contrib/dave-gaming-pc/codex/pass65-advanced-graphics-audit	e485e631	2026-07-26T23:03:56+01:00	Dave Hatton	no	2	0	24	681	91	SUPERSEDED	feat(pass65): refine gun range cat preview
contrib/dave-gaming-pc/codex/pass65-arsenal-audit-fixes	3a22f114	2026-07-26T10:43:50+01:00	Dave Hatton	no	1	1	25	574	97	OLDER_UNMERGED	fix(pass65): harden arsenal authority contracts
contrib/dave-gaming-pc/codex/pass65-arsenal-runtime	c1fcc248	2026-07-26T09:47:24+01:00	Dave Hatton	no	1	0	46	4109	1806	SUPERSEDED	feat(pass65): add arsenal loadouts and ordnance
contrib/dave-gaming-pc/codex/pass65-atomic-stability	53c4b7f0	2026-07-27T03:02:32+01:00	Dave Hatton	no	1	0	6	405	15	SUPERSEDED	fix(pass65): fail close Atomic profile authority parity
contrib/dave-gaming-pc/codex/pass65-bot-catalog	7afa669c	2026-07-26T19:43:47+01:00	Dave Hatton	no	1	0	24	650	148	SUPERSEDED	feat(pass65): derive complete bot arsenal and cadence
contrib/dave-gaming-pc/codex/pass65-decisions	95c62836	2026-07-26T07:57:52+01:00	Dave Hatton	no	1	0	9	466	240	SUPERSEDED	docs(pass65): freeze owner decisions and stable topology
contrib/dave-gaming-pc/codex/pass65-destruction-material-parity	662f2b22	2026-07-27T11:09:49+01:00	Dave Hatton	no	2	0	26	2383	164	SUPERSEDED	feat(destruction): add bounded house breakup authority
contrib/dave-gaming-pc/codex/pass65-djmaesen-arms-integration	211d9cca	2026-07-29T15:04:27+01:00	Dave Hatton	no	1	0	2	2150	0	SUPERSEDED	chore(pass65): preserve recovered arms authoring baseline
contrib/dave-gaming-pc/codex/pass65-drone-motion-audit	916b4602	2026-07-29T13:19:14+01:00	Dave Hatton	no	1	0	2	33	1	SUPERSEDED	fix(drone): reverse along pitched flight vector
contrib/dave-gaming-pc/codex/pass65-f-arbitration-fix	1bbf2fef	2026-07-29T13:43:49+01:00	Dave Hatton	no	2	0	3	61	36	SUPERSEDED	fix(input): retain global support handoff
contrib/dave-gaming-pc/codex/pass65-f01	6e70f5c3	2026-07-26T03:37:30+01:00	Dave Hatton	no	4	0	2	1711	0	SUPERSEDED	Snapshot weapon values from descriptors
contrib/dave-gaming-pc/codex/pass65-f02	a78f5575	2026-07-26T04:04:16+01:00	Dave Hatton	no	1	0	6	466	171	SUPERSEDED	Adapt B1 weapons through canonical catalog
contrib/dave-gaming-pc/codex/pass65-f04-loadout	3da073d5	2026-07-26T04:34:56+01:00	Dave Hatton	no	1	0	2	1974	0	SUPERSEDED	Add Pass 65 loadout v2 schema foundation
contrib/dave-gaming-pc/codex/pass65-final-menu-previews	2d50046b	2026-07-29T08:15:10+01:00	Dave Hatton	no	1	1	15	27	27	OLDER_UNMERGED	assets(pass65): recapture final menu previews
contrib/dave-gaming-pc/codex/pass65-final-stability-fixes	5acbbfb8	2026-07-29T15:04:53+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	test(webgpu): complete HF-138 endurance workflows
contrib/dave-gaming-pc/codex/pass65-flash-authority-audio	9ea99362	2026-07-27T10:01:53+01:00	Dave Hatton	no	1	1	15	1168	30	OLDER_UNMERGED	fix(flashbang): enforce host-authored victim effects
contrib/dave-gaming-pc/codex/pass65-foundation	68e9ec34	2026-07-26T02:15:44+01:00	Dave Hatton	no	4	0	36	1944	0	SUPERSEDED	Align Pass 65 combat effects and policies
contrib/dave-gaming-pc/codex/pass65-frame-pacing	13684a8a	2026-07-26T20:26:07+01:00	Dave Hatton	no	1	0	5	1036	0	SUPERSEDED	test(perf): gate Atomic frame pacing tails
contrib/dave-gaming-pc/codex/pass65-gunrange-lighting	4197af2b	2026-07-26T08:09:12+01:00	Dave Hatton	no	1	0	6	497	20	SUPERSEDED	feat(pass65): bound Gun Range contrast lighting
contrib/dave-gaming-pc/codex/pass65-hf-completeness-graph	c4d5e17f	2026-07-27T01:43:00+01:00	Dave Hatton	no	1	0	5	915	113	SUPERSEDED	feat(pass65): enforce owner feedback completeness graph
contrib/dave-gaming-pc/codex/pass65-hf135-fire-ray	2802c16d	2026-07-29T15:14:39+01:00	Dave Hatton	no	1	1	10	455	22	OLDER_UNMERGED	fix(pass65): align chopper gunner fire with camera ray
contrib/dave-gaming-pc/codex/pass65-hitl-assets	90f7b6a8	2026-07-26T15:51:28+01:00	Dave Hatton	no	1	0	23	1774	49	SUPERSEDED	feat(pass65): author Hunter Drone Blender asset family
contrib/dave-gaming-pc/codex/pass65-hitl-identity	180ed738	2026-07-26T12:04:53+01:00	Dave Hatton	no	1	1	31	1526	86	OLDER_UNMERGED	feat(pass65): stage The Big One HITL identity
contrib/dave-gaming-pc/codex/pass65-hitl-ui	e3cc650e	2026-07-26T15:26:00+01:00	Dave Hatton	no	1	0	10	394	21	SUPERSEDED	fix(pass65): restore tactical hud and graphics controls
contrib/dave-gaming-pc/codex/pass65-hitl-world	d0ab3614	2026-07-26T15:39:41+01:00	Dave Hatton	no	1	1	13	294	112	OLDER_UNMERGED	fix(pass65): stabilize WebGPU arena presentation
contrib/dave-gaming-pc/codex/pass65-house-destruction	227f081b	2026-07-26T23:51:20+01:00	Dave Hatton	no	1	0	3	239	8	SUPERSEDED	fix(pass65): retain physical house window debris
